chr	trait.1	trait.2	start.1	end.1	start.2	end.2	overlap_start	overlap_end	overlap_len	peak_distance_cM	frac_sum	jaccard	frac_small
chr6	COL	LABW	11.9636757089479	59.387413222563	49.5689857242217	89.3582831413172	49.5689857242217	59.387413222563	9.8184274983413	66.9367661602844	0.11257981683749327	0.12686190710277923	0.24676051440211672
chr2	COL	STAE	25.3189802638361	39.2974645971716	1.87198835322641	87.4376648736552	25.3189802638361	39.2974645971716	13.978484333335498	39.4892327809239	0.1404249552504706	0.16336555616431245	1
chr2	COL	STAL	25.3189802638361	39.2974645971716	31.2692191489371	112.730484831628	31.2692191489371	39.2974645971716	8.028245448234497	0	0.08411846685355294	0.09184426567109595	0.5743287510140825
chr6	COL	STAL	11.9636757089479	59.387413222563	11.9636757089479	59.387413222563	11.9636757089479	59.387413222563	47.423737513615094	0.44831770504869795	0.5	1	1
chr2	COL	STATL	25.3189802638361	39.2974645971716	31.2692191489371	42.4326536454264	31.2692191489371	39.2974645971716	8.028245448234497	0	0.3193171333729281	0.4691129291313182	0.7191555117521616
chr6	COL	STYL	11.9636757089479	59.387413222563	17.2652036061135	74.8089990346945	17.2652036061135	59.387413222563	42.122209616449496	49.4352539535953	0.4012879833962137	0.6702520949429628	0.8882094036632275
chr6	COL	TUA	11.9636757089479	59.387413222563	44.1159217254399	87.6904224213103	44.1159217254399	59.387413222563	15.271491497123101	51.086672338580605	0.16782183696751207	0.20166575430910502	0.3504685367185491
chr2	COL	VFN	25.3189802638361	39.2974645971716	9.36943198962067	30.659403044976	25.3189802638361	30.659403044976	5.3404227811399	13.481914323929399	0.1514220773856844	0.1784421599364502	0.38204591097220814
chr2	COLL	EFNSC40	25.6790095917765	97.9952386294825	55.9416857271949	84.6585610835185	55.9416857271949	84.6585610835185	28.716875356323605	3.9407117596792034	0.2842323368024766	0.39710139395336147	1
chr2	COLL	INFA	25.6790095917765	97.9952386294825	38.4900950838706	61.7155643960008	38.4900950838706	61.7155643960008	23.2254693121302	36.5873989280534	0.2430924895964027	0.3211653818400893	1
chr2	COLL	LABL	25.6790095917765	97.9952386294825	25.3189802638361	112.730484831628	25.6790095917765	97.9952386294825	72.316229037706	45.312957735766304	0.4527468549470286	0.8273079086703192	1
chr6	COLL	LABL	13.8952122974912	59.387413222563	11.9636757089479	22.2640408467356	13.8952122974912	22.2640408467356	8.3688285492444	0.3203458729111972	0.14999898982627075	0.17646919007262457	0.8124788235460405
chr2	COLL	LABW	25.6790095917765	97.9952386294825	55.6021761092847	97.6613589948884	55.6021761092847	97.6613589948884	42.059182885603704	11.7642211727578	0.3677292363659855	0.581600886070454	1
chr6	COLL	LABW	13.8952122974912	59.387413222563	49.5689857242217	89.3582831413172	49.5689857242217	59.387413222563	9.8184274983413	66.4884484552357	0.11512963173967353	0.13010903728872825	0.24676051440211672
chr2	COLL	STAE	25.6790095917765	97.9952386294825	1.87198835322641	87.4376648736552	25.6790095917765	87.4376648736552	61.758655281878696	5.823724954842405	0.39116993846478576	0.6424944548211353	0.8540082372060284
chr2	COLL	STAL	25.6790095917765	97.9952386294825	31.2692191489371	112.730484831628	31.2692191489371	97.9952386294825	66.7260194805454	45.312957735766304	0.4339127750901961	0.7665122193127262	0.922697717627867
chr6	COLL	STAL	13.8952122974912	59.387413222563	11.9636757089479	59.387413222563	13.8952122974912	59.387413222563	45.4922009250718	0	0.48960599967562146	0.9592706798364687	1
chr2	COLL	STATL	25.6790095917765	97.9952386294825	31.2692191489371	42.4326536454264	31.2692191489371	42.4326536454264	11.163434496489298	45.312957735766304	0.13372639543421835	0.15436969882194265	1
chr2	COLL	STAW	25.6790095917765	97.9952386294825	77.9758396873618	98.3785065029769	77.9758396873618	97.9952386294825	20.019398942120702	11.217200222313593	0.2159149842960908	0.2753719047956221	0.9812148148593461
chr2	COLL	STIW	25.6790095917765	97.9952386294825	85.2560206999177	112.730484831628	85.2560206999177	97.9952386294825	12.739217929564802	24.77997563349379	0.12765937909597663	0.14634120667644798	0.4636748461587475
chr6	COLL	STYL	13.8952122974912	59.387413222563	17.2652036061135	74.8089990346945	17.2652036061135	59.387413222563	42.122209616449496	48.9869362485466	0.4088106206288575	0.6915053532655066	0.9259215592982
chr6	COLL	TUA	13.8952122974912	59.387413222563	44.1159217254399	87.6904224213103	44.1159217254399	59.387413222563	15.271491497123101	50.638354633531904	0.17146128933927338	0.20694421049143233	0.3504685367185491
chr2	COLL	VFN	25.6790095917765	97.9952386294825	9.36943198962067	30.659403044976	25.6790095917765	30.659403044976	4.9803934531995004	58.794872059695706	0.053205807395750475	0.056195747514465336	0.23393143373704683
chr2	EFNSC40	INFA	55.9416857271949	84.6585610835185	38.4900950838706	61.7155643960008	55.9416857271949	61.7155643960008	5.773878668805899	32.6466871683742	0.11115937691416064	0.12506108972409724	0.248601162422596
chr2	EFNSC40	LABL	55.9416857271949	84.6585610835185	25.3189802638361	112.730484831628	55.9416857271949	84.6585610835185	28.716875356323605	41.3722459760871	0.24728559353957014	0.3285251237616241	1
chr2	EFNSC40	LABW	55.9416857271949	84.6585610835185	55.6021761092847	97.6613589948884	55.9416857271949	84.6585610835185	28.716875356323605	7.823509413078597	0.4057427902831682	0.682773020922216	1
chr2	EFNSC40	STAE	55.9416857271949	84.6585610835185	1.87198835322641	87.4376648736552	55.9416857271949	84.6585610835185	28.716875356323605	1.8830131951632012	0.25127961254569475	0.3356120879786121	1
chr2	EFNSC40	STAL	55.9416857271949	84.6585610835185	31.2692191489371	112.730484831628	55.9416857271949	84.6585610835185	28.716875356323605	41.3722459760871	0.2606404054880073	0.35252184109417095	1
chr2	EFNSC40	STAW	55.9416857271949	84.6585610835185	77.9758396873618	98.3785065029769	77.9758396873618	84.6585610835185	6.682721396156708	15.157911981992797	0.13605015642785145	0.15747460045287906	0.3275415638823309
chr3	FNSC	STAE	17.1762395460885	32.1642254129795	14.493402758655	70.8006775916428	17.1762395460885	32.1642254129795	14.987985866890998	31.2359018034461	0.21022415402874708	0.2661820503895216	1
chr2	INFA	LABL	38.4900950838706	61.7155643960008	25.3189802638361	112.730484831628	38.4900950838706	61.7155643960008	23.2254693121302	8.7255588077129	0.20992502323262704	0.26570266038742885	1
chr2	INFA	LABW	38.4900950838706	61.7155643960008	55.6021761092847	97.6613589948884	55.6021761092847	61.7155643960008	6.113388286716102	24.823177755295603	0.09364204420052503	0.1033168447425673	0.26321914982889927
chr2	INFA	STAE	38.4900950838706	61.7155643960008	1.87198835322641	87.4376648736552	38.4900950838706	61.7155643960008	23.2254693121302	30.763673973211	0.21348676065859845	0.27143441455272227	1
chr2	INFA	STAL	38.4900950838706	61.7155643960008	31.2692191489371	112.730484831628	38.4900950838706	61.7155643960008	23.2254693121302	8.7255588077129	0.2218568504718308	0.2851105874367136	1
chr2	INFA	STATL	38.4900950838706	61.7155643960008	31.2692191489371	42.4326536454264	38.4900950838706	42.4326536454264	3.942558561555799	8.7255588077129	0.11464624122643903	0.1294920138874805	0.3531671693685007
chr1	INFA	STIW	64.3407748508903	118.923254448536	39.0854216630121	118.923254448536	64.3407748508903	118.923254448536	54.5824795976457	33.5931419599801	0.40605827073259965	0.6836668493278857	1
chr2	LABL	LABW	25.3189802638361	112.730484831628	55.6021761092847	97.6613589948884	55.6021761092847	97.6613589948884	42.059182885603704	33.548736563008504	0.324854866478896	0.481163012735752	1
chr2	LABL	STAE	25.3189802638361	112.730484831628	1.87198835322641	87.4376648736552	25.3189802638361	87.4376648736552	62.1186846098191	39.4892327809239	0.35911490879330343	0.560342117051187	0.7259766665315651
chr2	LABL	STAL	25.3189802638361	112.730484831628	31.2692191489371	112.730484831628	31.2692191489371	112.730484831628	81.46126568269091	0	0.4823824797915164	0.9319284239011549	1
chr6	LABL	STAL	11.9636757089479	22.2640408467356	11.9636757089479	59.387413222563	11.9636757089479	22.2640408467356	10.3003651377877	0.3203458729111972	0.1784413211235495	0.21719851023615594	1
chr2	LABL	STATL	25.3189802638361	112.730484831628	31.2692191489371	42.4326536454264	31.2692191489371	42.4326536454264	11.163434496489298	0	0.11324820083540267	0.12771127269444846	1
chr2	LABL	STAW	25.3189802638361	112.730484831628	77.9758396873618	98.3785065029769	77.9758396873618	98.3785065029769	20.402666815615106	56.5301579580799	0.18923919326949581	0.23340939978663605	1
chr2	LABL	STIW	25.3189802638361	112.730484831628	85.2560206999177	112.730484831628	85.2560206999177	112.730484831628	27.474464131710306	70.0929333692601	0.23914551483282526	0.31431176328057037	1
chr6	LABL	STYL	11.9636757089479	22.2640408467356	17.2652036061135	74.8089990346945	17.2652036061135	22.2640408467356	4.998837240622102	49.3072821214578	0.07368117165709463	0.07954191300300255	0.4853067996864959
chr2	LABL	VFN	25.3189802638361	112.730484831628	9.36943198962067	30.659403044976	25.3189802638361	30.659403044976	5.3404227811399	13.481914323929399	0.049129257450509646	0.05166765076689968	0.25084218138458
chr2	LABW	STAE	55.6021761092847	97.6613589948884	1.87198835322641	87.4376648736552	55.6021761092847	87.4376648736552	31.835488764370496	5.9404962179153955	0.2494458282855959	0.3323488665925547	0.7569212376512279
chr4.2.9	LABW	STAE	11.8116442976674	26.4802465150859	12.6820339268685	27.4385781889511	12.6820339268685	26.4802465150859	13.798212588217398	2.9997487434432983	0.4689258759622441	0.8829763205124763	0.9406630832099638
chr2	LABW	STAL	55.6021761092847	97.6613589948884	31.2692191489371	112.730484831628	55.6021761092847	97.6613589948884	42.059182885603704	33.548736563008504	0.3405038062369821	0.5163089786676436	1
chr6	LABW	STAL	49.5689857242217	89.3582831413172	11.9636757089479	59.387413222563	49.5689857242217	59.387413222563	9.8184274983413	66.4884484552357	0.11257981683749327	0.12686190710277923	0.24676051440211672
chr2	LABW	STAW	55.6021761092847	97.6613589948884	77.9758396873618	98.3785065029769	77.9758396873618	97.6613589948884	19.685519307526604	22.981421395071393	0.31516068450887524	0.46019654155349027	0.9648503053757838
chr2	LABW	STIW	55.6021761092847	97.6613589948884	85.2560206999177	112.730484831628	85.2560206999177	97.6613589948884	12.405338294970704	36.54419680625159	0.17840770371043174	0.2171487056489541	0.4515224841329221
chr6	LABW	STYL	49.5689857242217	89.3582831413172	17.2652036061135	74.8089990346945	49.5689857242217	74.8089990346945	25.240013310472797	17.5015122066891	0.259315845952736	0.3501031371277165	0.6343417689910856
chr6	LABW	TUA	49.5689857242217	89.3582831413172	44.1159217254399	87.6904224213103	49.5689857242217	87.6904224213103	38.121436697088605	15.850093821703794	0.4572900654721899	0.8426049283031082	0.9580826798090106
chr6	RALA	RAST	6.31045465914472	9.71650089817456	6.70920358332416	9.71650089817456	6.70920358332416	9.71650089817456	3.0072973148504003	0	0.46891255545337296	0.8829290925031548	1
chr6	RALA	VNG	6.31045465914472	9.71650089817456	6.70920358332416	9.16173149323558	6.70920358332416	9.16173149323558	2.45252790991142	0	0.4186219799496148	0.7200512670109801	1
chr6	RAST	VNG	6.70920358332416	9.71650089817456	6.70920358332416	9.16173149323558	6.70920358332416	9.16173149323558	2.45252790991142	0	0.44919531467573837	0.8155255876432764	1
chr2	STAE	STAL	1.87198835322641	87.4376648736552	31.2692191489371	112.730484831628	31.2692191489371	87.4376648736552	56.1684457247181	39.4892327809239	0.33628374550742984	0.5066679371360707	0.6895110854710537
chr2	STAE	STATL	1.87198835322641	87.4376648736552	31.2692191489371	42.4326536454264	31.2692191489371	42.4326536454264	11.163434496489298	39.4892327809239	0.11540925352386207	0.13046626813993611	1
chr2	STAE	STAW	1.87198835322641	87.4376648736552	77.9758396873618	98.3785065029769	77.9758396873618	87.4376648736552	9.461825186293396	17.040925177155998	0.08928916776860725	0.09804337953226487	0.4637543352446369
chr2	STAE	STIW	1.87198835322641	87.4376648736552	85.2560206999177	112.730484831628	85.2560206999177	87.4376648736552	2.181644173737496	30.603700588336196	0.019299729822976047	0.019679539620696036	0.07940625022853491
chr7.5	STAE	TUA	18.5740038155421	37.6723218856705	20.0664682290051	24.3242547487556	20.0664682290051	24.3242547487556	4.2577865197505	10.153216039815199	0.18229865786761218	0.22294039213903794	1
chr2	STAE	VFN	1.87198835322641	87.4376648736552	9.36943198962067	30.659403044976	9.36943198962067	30.659403044976	21.28997105535533	52.9711471048533	0.19924048506894376	0.24881438353698232	1
chr2	STAL	STATL	31.2692191489371	112.730484831628	31.2692191489371	42.4326536454264	31.2692191489371	42.4326536454264	11.163434496489298	0	0.12052329966946082	0.13703978698260433	1
chr2	STAL	STAW	31.2692191489371	112.730484831628	77.9758396873618	98.3785065029769	77.9758396873618	98.3785065029769	20.402666815615106	56.5301579580799	0.2002933355822916	0.25045850496710753	1
chr2	STAL	STIW	31.2692191489371	112.730484831628	85.2560206999177	112.730484831628	85.2560206999177	112.730484831628	27.474464131710306	70.0929333692601	0.25220801456528363	0.33727028301682954	1
chr6	STAL	STYL	11.9636757089479	59.387413222563	17.2652036061135	74.8089990346945	17.2652036061135	59.387413222563	42.122209616449496	48.9869362485466	0.4012879833962137	0.6702520949429628	0.8882094036632275
chr6	STAL	TUA	11.9636757089479	59.387413222563	44.1159217254399	87.6904224213103	44.1159217254399	59.387413222563	15.271491497123101	50.638354633531904	0.16782183696751207	0.20166575430910502	0.3504685367185491
chr1	STAW	STIW	37.4651561581081	59.6979779156267	39.0854216630121	118.923254448536	39.0854216630121	59.6979779156267	20.612556252614603	1.4068580400198982	0.20194399991745351	0.25304489897521676	0.9271228131734532
chr2	STAW	STIW	77.9758396873618	98.3785065029769	85.2560206999177	112.730484831628	85.2560206999177	98.3785065029769	13.122485803059206	13.562775411180198	0.2740867203905057	0.3775750190683257	0.6431750281299482
chr1	STAW	VFN	37.4651561581081	59.6979779156267	53.0064672089632	61.8614668315148	53.0064672089632	59.6979779156267	6.6915107066635	2.435275236049897	0.21524540510108886	0.27428371429773646	0.7556760013429928
chr1	STIW	VFN	39.0854216630121	118.923254448536	53.0064672089632	61.8614668315148	53.0064672089632	61.8614668315148	8.854999622551595	1.0284171960299986	0.0998389540860502	0.11091232456596907	1
chr6	STYL	TUA	17.2652036061135	74.8089990346945	44.1159217254399	87.6904224213103	44.1159217254399	74.8089990346945	30.693077309254598	1.6514183849853055	0.30353633798851865	0.43582508972810524	0.7043816181274891
